idAbt,idBuy
552,90132241
552,90138609
552,90140166
552,203023505
552,203024425
552,203024998
552,203025617
552,203087681
552,204563763
552,207910213
580,202812567
580,202812620
580,202812646
580,203921172
580,204793090
580,205817784
580,206362747
580,206362749
580,207390309
580,207464920
580,208033955
580,208177785
4696,90049928
4696,203088013
4696,203651765
4696,204254738
4696,204563763
4696,204563770
4696,205809367
4696,205835447
4696,207390171
4696,208504099
4696,209297154
5644,50017228
5644,90132241
5644,90138609
5644,90140166
5644,203022472
5644,203023505
5644,203024998
5644,203025423
5644,203025617
5644,203087638
5644,207390171
5644,207910387
5644,207934192
5644,208105467
6284,202812567
6284,202812620
6284,203921172
6284,204049431
6284,204793090
6284,207390309
6284,207464919
6284,207464920
6284,207464921
6284,210399907
6493,203017999
6493,203024425
6493,203087319
6493,203087638
6493,203087681
6493,204587909
6493,205593354
6493,207390506
6493,207993409
6493,208177785
6493,208455891
6493,208504429
6493,208504432
6493,210399849
6726,202045862
6726,202845629
6726,203111113
6726,203111433
6726,203155653
6726,203897877
6726,203915639
6726,204264643
6726,208715747
6726,210245837
6742,202045875
6742,202845629
6742,202900041
6742,203111433
6742,203888987
6742,204519849
6742,204559208
6742,204559209
6742,204559210
6742,204559211
6742,204559213
7195,90105458
7195,90145444
7195,90146847
7195,204363358
7195,204448530
7195,204787802
7195,204793355
7195,205691190
7195,207907535
7195,207907550
7195,207907557
7195,207907559
7783,90104307
7783,90105056
7783,90128649
7783,90138537
7783,202537967
7783,202755491
7783,202899998
7783,202900030
7783,202900227
7783,208111279
7783,208111280
7936,90104307
7936,90105056
7936,90114398
7936,90138520
7936,202755491
7936,202900030
7936,202900227
7936,203472622
7936,204206934
7936,204206936
7936,204419878
7936,206854534
7936,208111279
7936,208111280
7936,208504190
8060,90104307
8060,90105056
8060,90128649
8060,90138520
8060,90138537
8060,202755491
8060,202900030
8060,202900227
8060,203322272
8060,204206935
8060,204419878
8060,207935920
8060,208111279
8060,208111280
8552,50017228
8552,90132241
8552,90138609
8552,90140166
8552,203022472
8552,203023505
8552,203024998
8552,203025423
8552,203025617
8552,203087638
8552,203088013
8552,207338879
8552,207544306
8552,207910213
8552,207910387
8552,207934192
8552,208105467
9071,50017228
9071,90132241
9071,90138609
9071,90140166
9071,203022472
9071,203023505
9071,203024998
9071,203025423
9071,203025617
9071,203087638
9071,203088013
9071,207544306
9071,207910387
9071,207934192
9071,208105467
9312,90049752
9312,90105056
9312,90114398
9312,90128649
9312,90138520
9312,90138537
9312,202899998
9312,202900030
9312,202900227
9312,204206934
9312,204206937
9312,206179521
9312,207383660
9312,208504190
9312,209085184
9312,209896109
9312,210402579
9314,90049752
9314,90105056
9314,90114398
9314,90128649
9314,90138520
9314,90138537
9314,202900030
9314,204206934
9314,204206937
9314,204465488
9314,206179521
9314,206575951
9314,206854534
9314,207383660
9314,208504190
9314,209085184
9314,209896109
9314,210402579
9355,202045862
9355,202045875
9355,202900041
9355,203111113
9355,203151776
9355,203155653
9355,204559213
9355,204559214
9355,206725196
9355,206725198
9355,208294970
9546,203150909
9546,203915639
9546,204264643
9546,204569335
9546,208117918
9546,208294904
9546,208455791
9546,208455792
9546,208456203
9546,208715747
9546,209297205
9546,210435439
9546,210521578
9646,201959840
9646,203111113
9646,203111433
9646,203151776
9646,203151930
9646,203155653
9646,203162678
9646,203198950
9646,203897877
9646,204559213
9646,206725196
9646,206725198
10101,90106172
10101,90106210
10101,90125772
10101,90125786
10101,90140203
10101,90148258
10101,202291459
10101,202812567
10101,203324914
10101,203389382
10101,204049534
10101,204222662
10101,204222897
10101,207390496
10101,207653535
10102,90106172
10102,90106210
10102,90125772
10102,90125786
10102,90140203
10102,90148258
10102,202291459
10102,203324914
10102,203389382
10102,204049534
10102,204222662
10102,207390496
10102,207653535
10640,203017999
10640,203024425
10640,203087319
10640,203087638
10640,203087681
10640,203324800
10640,207390506
10640,207390507
10640,207910213
10640,207910387
10640,210399849
10640,210399907
11338,90138609
11338,90140166
11338,202139765
11338,203022472
11338,203023505
11338,203024998
11338,203025423
11338,203025617
11338,203087638
11338,203142471
11338,207934192
11338,208105467
11338,210441166
11801,203025174
11801,203308084
11801,203388612
11801,205554287
11801,206722262
11801,206722263
11801,207929461
11801,208941079
11801,208941080
11801,210239335
11801,210252184
13155,90109367
13155,90131941
13155,201699873
13155,201701865
13155,203934122
13155,204222897
13155,205561996
13155,205562000
13155,205852250
13155,207514417
13202,10379358
13202,202537952
13202,202537967
13202,202537969
13202,202900025
13202,203322272
13202,203472622
13202,204734549
13202,206179521
13202,208504190
13213,90128026
13213,90138609
13213,90140166
13213,203022472
13213,203023505
13213,203024998
13213,203025617
13213,203088013
13213,203142471
13213,204222472
13213,204505951
13213,205467942
13213,207390171
13213,207390502
13213,207910213
13213,208033486
13213,208033808
13213,208085180
13213,208105630
13213,208289993
13213,208295050
13213,208455896
13213,208670546
13213,209297154
13213,210252356
13580,90106172
13580,90106210
13580,90108521
13580,90111702
13580,90125772
13580,90125786
13580,90145586
13580,202143942
13580,202291459
13580,204222897
13580,204222915
13580,206460124
13580,207899810
13581,90106172
13581,90106210
13581,90108521
13581,90111702
13581,90125772
13581,90125786
13581,90139261
13581,90145586
13581,202143942
13581,202291459
13581,204222915
13581,206460124
13700,90108521
13700,90111702
13700,90125772
13700,90125786
13700,90137168
13700,90139261
13700,90145586
13700,202291459
13700,204080936
13700,204230770
13701,90108521
13701,90111702
13701,90125772
13701,90125786
13701,90137168
13701,90139261
13701,90145586
13701,202291459
13701,204080936
13701,204230770
13945,90138609
13945,90140166
13945,203023505
13945,203024998
13945,203025423
13945,203087638
13945,207544306
13945,207910387
13945,207959750
13945,208186248
13945,208294715
13945,209306029
13945,210399818
13954,90104307
13954,90105056
13954,90128649
13954,90138520
13954,90138537
13954,202537962
13954,202755491
13954,202900030
13954,202900227
13954,206179525
13954,207543192
13954,207543193
13954,207543198
13954,207543201
13954,207935920
13954,208111279
13954,208111280
13996,203025174
13996,203308084
13996,203324965
13996,203870569
13996,203884610
13996,206356232
13996,206722262
13996,206722263
13996,209002546
13996,210239335
13996,210252184
14033,90105156
14033,202870171
14033,202870173
14033,202870184
14033,203086405
14033,204053338
14033,204416098
14033,207536226
14033,207686035
14033,208941076
14033,208941080
14033,210490135
14061,90138609
14061,90140166
14061,203023505
14061,203024998
14061,203025423
14061,203025446
14061,203087638
14061,204791586
14061,207533462
14061,207544265
14061,207544306
14070,201959840
14070,203111113
14070,203151776
14070,203151930
14070,203162678
14070,203198950
14070,206639246
14070,206725196
14070,206725198
14070,206725724
14070,208294970
14563,202045862
14563,202592070
14563,202870448
14563,202900041
14563,203151776
14563,203155653
14563,203405814
14563,203405815
14563,203888987
14563,203897877
14563,204020411
14563,204559208
14563,204559209
14563,204559211
14563,204559213
14563,204559214
14563,205106045
14563,206725198
14563,207937885
14563,208117925
14563,208226457
14563,208294970
14715,203021705
14715,206812505
14715,206928606
14715,206928608
14715,207391017
14715,207659192
14715,207659194
14715,208791918
14715,208791921
14715,208791922
15046,203150909
15046,204264643
15046,208117918
15046,208117919
15046,208294904
15046,208455791
15046,208456203
15046,208715747
15046,209297200
15046,209297205
15452,90136420
15452,203017999
15452,204793356
15452,207934190
15452,207934191
15452,207959750
15452,208105573
15452,208186248
15452,208504307
15452,208504423
15452,208939028
15452,209297152
15452,210399855
15452,210402319
16000,202045862
16000,202045875
16000,208117925
16000,208117926
16000,208156876
16000,208156877
16000,208156878
16000,208156879
16000,208226457
16000,208226458
16003,202045862
16003,204559213
16003,208117925
16003,208117926
16003,208156876
16003,208156877
16003,208156878
16003,208156879
16003,208226457
16003,208226458
16112,202045862
16112,202045875
16112,202900041
16112,204272122
16112,204519849
16112,204559208
16112,204559209
16112,204559210
16112,204559211
16112,204559213
16112,204559214
16112,206725198
16112,210245837
16112,210461432
16309,90138609
16309,90140166
16309,203022472
16309,203023505
16309,203024998
16309,203025617
16309,203088013
16309,205554724
16309,207390171
16309,208033486
16309,208112358
16309,209297154
16329,202592070
16329,203150909
16329,203915639
16329,204264643
16329,204274660
16329,208117919
16329,208455791
16329,208456203
16329,208456215
16329,208715747
16329,208715855
16329,209297200
16329,210435439
16329,210521551
16329,210521578
16394,203111424
16394,203150909
16394,204274660
16394,204569292
16394,208456199
16394,208456215
16394,208456233
16394,208456262
16394,208715855
16394,210435439
16668,90140203
16668,90145568
16668,90148258
16668,201699873
16668,203389382
16668,204049534
16668,204222662
16668,205562000
16668,207390496
16668,207945552
16669,90140203
16669,90145568
16669,90148258
16669,203389382
16669,204049534
16669,204222662
16669,207390496
16669,207653535
16669,207945552
16669,208042911
16741,201959840
16741,203111113
16741,203151779
16741,203151930
16741,203162678
16741,203198950
16741,203491687
16741,206639246
16741,206725724
